Solution,1 Blue,2 White,3 Black
2,'THE GEMS ARE IN A BOX WITH A FALSE STATEMENT.',THE BLUE BOX IS FALSE.,THE WHITE BOX IS FALSE.
3,'THIS BOX CONTAINS THE GEMS.',THIS BOX DOES NOT CONTAIN THE GEMS.,THE OTHER TWO BOXES<br>ARE TRUE.
3,'A BOX WITH A FALSE STATEMENT CONTAINS THE GEMS.',THE STATEMENT ON THE BLUE BOX IS TRUE.,THE BLUE BOX CONTAINS THE GEMS.
1,THE BLACK BOX IS<br>NOT EMPTY.,THE STATEMENT ON THE BLACK BOX IS TRUE.,'A BOX WITH A FALSE STATEMENT CONTAINS THE GEMS.'
3,THE GEMS ARE NOT IN<br>THIS BOX.,'THE GEMS ARE IN THIS BOX.',THE WHITE BOX IS TRUE.
2,THERE ARE TWO FALSE STATEMENTS.,THIS IS THE ONLY TRUE STATEMENT.,THE WHITE BOX IS EMPTY.
2,THIS BOX IS EMPTY.,A BOX WITH A FALSE STATEMENT IS EMPTY.,THERE ARE TWO FALSE STATEMENTS.
3,'THE EMPTY BOXES BOTH HAVE TRUE STATEMENTS.',THE BLUE BOX HAS A<br>TRUE STATEMENT.,THIS BOX CONTAINS<br>THE GEMS.
2,ONE OF THE OTHER TWO BOXES IS FALSE.,YOU WILL OPEN THIS BOX AND FIND IT EMPTY.,THE BLUE BOX IS TRUE.
1,THE GEMS ARE IN THE<br>BLACK BOX.,THE GEMS ARE NOT IN<br>THIS BOX.,'THE STATEMENTS ON THE OTHER<br> TWO BOXES ARE TRUE.'
3,THE GEMS ARE IN THE<br>WHITE BOX.,'THE OTHER TWO STATEMENTS ARE BOTH TRUE.',THE GEMS ARE NOT IN<br>THE BLUE BOX.
2,'THE GEMS ARE NOT IN A BOX WITH A TRUE STATEMENT.','THE STATEMENT ON THE BLUE BOX<br>IS AS TRUE AS THIS STATEMENT.','THE GEMS ARE NOT IN A BOX WITH A TRUE STATEMENT.'
1,THERE IS ONLY ONE TRUE STATEMENT.,'THE GEMS ARE IN A BOX WITH<br>A FALSE STATEMENT.',THERE ARE TWO TRUE STATEMENTS.
3,THIS IS THE ONLY<br>TRUE BOX.,'THE GEMS ARE IN THE OTHER BOX WITH A TRUE STATEMENT.','ONE OF THE OTHER BOXES<br> IS TRUE.'
1,'THE GEMS ARE IN THE ONLY BOX WITH A TRUE STATEMENT.',ONE OF THE OTHER BOXES<br> IS TRUE.,'THE GEMS ARE IN THE ONLY BOX<br>WITH A FALSE STATEMENT.'
2,ONLY ONE STATEMENT<br>IS FALSE.,ONLY ONE STATEMENT<br>IS TRUE.,'THE GEMS ARE IN A BOX WITH<br> A FALSE STATEMENT.'
3,THE GEMS ARE IN THE<br>ONLY TRUE BOX.,ONLY ONE STATEMENT<br>IS TRUE.,THE GEMS ARE IN THE<br> BLUE BOX.
2,'ONE OF THE OTHER<br>STATEMENTS IS FALSE.','ONE OF THE OTHER BOXES<br>CONTAINS GEMS.','IF YOU REPLACE THE WORD <color=#152C3F>‘ONE’</color> IN THE OTHER TWO STATEMENTS WITH <color=#152C3F>‘BOTH’</color> THEY WILL BOTH BE FALSE.'
1,'THE GEMS ARE IN THIS BOX.',THIS STATEMENT IS OF<br>NO HELP AT ALL.,THE GEMS ARE IN THE<br>BLUE BOX.
1,THE TRUE BOXES ARE<br>BOTH EMPTY.,THE FALSE BOXES ARE<br>BOTH TRUE.,THE GEMS ARE IN<br>THE BLUE BOX.
2,BOXES NEXT TO THIS BOX CONTAIN GEMS.,BOXES NEXT TO THIS BOX CONTAIN GEMS.,BOXES NEXT TO THIS BOX CONTAIN GEMS.
3,THERE ARE TWO TRUE BOXES.,THERE ARE TWO EMPTY BOXES.,THIS BOX IS EMPTY.
3,THE GEMS ARE IN THE<br>BLACK BOX.,THIS STATEMENT IS OF NO HELP AT ALL.,'THIS BOX AND THE BLUE BOX ARE BOTH FALSE.'
3,THE GEMS ARE IN THE<br>BLACK BOX.,'EVERY STATEMENT WITH THE WORD BLACK IS FALSE.',THE GEMS ARE IN THE<br>BLUE BOX.
2,THIS BOX IS NOT BLUE.,'EVERY STATEMENT WITH THE WORD BLUE IS FALSE.','THE BLACK BOX AND BLUE BOX ARE EMPTY.'
3,THE EMPTY BOXES ARE BOTH TRUE.,THE GEMS ARE IN THE<br>BLACK BOX.,'THIS IS NOT AN EMPTY BOX.'
1,THE GEMS ARE IN<br>ANOTHER BOX.,THE TRUTH IS ON<br>ANOTHER BOX.,'THE WORDS <color=#152C3F>‘ANOTHER BOX’</color> ARE ON ANOTHER BOX.'
2,THE GEMS ARE ON THE TABLE BEHIND YOU.,'THE GEMS ARE IN THIS BOX.','EVERY STATEMENT CLAIMING WHERE<br>THE GEMS ARE IS FALSE. <br><br>THE GEMS ARE IN THE BLUE BOX.'
3,THIS BOX IS EMPTY.,THIS BOX IS EMPTY.,THIS PUZZLE IS HARDER THAN IT SEEMS.
2,YOU WILL OPEN THIS BOX AND FIND IT EMPTY.,A TRUE BOX CONTAINS<br>THE GEMS.,THIS BOX AND THE WHITE BOX ARE BOTH FALSE.
3,THE WHITE BOX IS EMPTY.,THE BLUE BOX IS FALSE.,'THE EMPTY BOXES BOTH HAVE FALSE STATEMENTS.'
2,'A BOX THAT DISPLAYS THE<br> WORD <color=#152C3F>‘TRUE''</color> IS FALSE.','A BOX THAT DISPLAYS THE<br>WORD <color=#152C3F>‘GEMS''</color> IS  EMPTY.',THE WHITE BOX IS TRUE AND<br>DOES NOT CONTAIN GEMS.
3,'THE LETTER <color=#152C3F>‘B’</color> APPEARS TWICE ON THE<br>BOX THAT CONTAINS THE GEMS.','ALL STATEMENTS THAT CONTAIN MORE THAN ONE <color=#152C3F>‘B’</color> ARE TRUE.',THE BLUE BOX CONTAINS GEMS.
2,THE EMPTY BOXES ARE BOTH TRUE.,THE EMPTY BOXES ARE BOTH FALSE.,'THIS IS NOT AN EMPTY BOX.'
1,'THIS BOX’S STATEMENT IS BOTH TRUE AND FALSE.','THE BLUE BOX CONTAINS THE GEMS IF<br>ITS STATEMENT IS FALSE.','THIS STATEMENT IS AS TRUE AS THE WHITE BOX’S STATEMENT.'
3,'STATEMENTS CONTAINING THE WORD ‘STATEMENTS’ ARE ALWAYS TRUE.','BOTH STATEMENTS ON THE BLACK BOX ARE FALSE.','THE GEMS ARE IN THE BOX WITH A TRUE STATEMENT. <br><br>THIS IS THE SECOND STATEMENT ON THIS BOX.'
2,THE GEMS ARE NOT IN<br>THE BLACK BOX.,THE GEMS ARE IN THE<br>BLUE BOX.,'BOTH OF THESE STATEMENTS ARE FALSE.<br><br>THE STATEMENT ON THE WHITE BOX IS FALSE.'
2,'THE GEMS ARE NOT IN THE BLACK BOX.','THIS STATEMENT IS AS TRUE AS THE STATEMENT ON THE BLACK BOX.',THE GEMS ARE IN THE<br>WHITE BOX.
3,'THERE ARE TWO STATEMENTS ON THIS BOX.<br><br>THEY ARE BOTH FALSE.','THERE ARE TWO STATEMENTS ON THIS BOX.<br><br>THE GEMS ARE IN A BOX WITH NO <br> TRUE STATEMENTS.','THERE ARE TWO STATEMENTS<br>ON THIS BOX.'
3,'THE SECOND STATEMENT ON THE BLACK BOX<br>IS FALSE.<br><br>THE BLACK BOX CONTAINS THE GEMS.','EVERY STATEMENT WITH THE WORD <color=#152C3F>''BLUE''</color> IS FALSE.','BOTH STATEMENTS ON THE BLUE BOX<br>ARE TRUE.<br><br>THE BLUE BOX CONTAINS GEMS.'
1,'THE GEMS ARE IN THIS BOX.<br><br>THE ABOVE STATEMENT IS TRUE.','THE GEMS ARE NOT IN THIS BOX.<br><br>THE ABOVE STATEMENT IS FALSE.','THE TOP STATEMENT OF EACH BOX<br>IS TRUE.<br><br>THE ABOVE STATEMENT IS TRUE.'
2,'BOTH OF THESE STATEMENTS ARE TRUE.<br><br>THE GEMS ARE IN THIS BOX.','THE GEMS ARE NOT IN THE BLUE BOX.<br><br>THE GEMS ARE NOT IN THE BLACK BOX.','THE GEMS ARE IN A BOX WITH A<br>FALSE STATEMENT.<br><br>BOTH STATEMENTS ON THE BLUE BOX ARE TRUE.'
3,'THE GEMS ARE NOT IN THIS BOX.<br><br>THE GEMS ARE NOT IN THE WHITE BOX.','THE GEMS ARE NOT IN THIS BOX.<br><br>THE GEMS ARE IN THE BLUE BOX.','THE GEMS ARE NOT IN THIS BOX.<br><br>THE GEMS ARE IN THE BLUE BOX.'
3,'THE STATEMENTS ON THIS BOX ARE EITHER<br>BOTH TRUE OR BOTH FALSE.<br><br>THIS BOX IS EMPTY.',THIS BOX IS WHITE.,'ALL STATEMENTS ON THE BLUE  BOX ARE TRUE.<br><br>THE BOX WITH NO FALSE STATEMENTS HAS<br>THE GEMS.'
1,'THE WHITE BOX HAS EXACTLY ONE<br>TRUE STATEMENT.<br><br>THE BLACK BOX HAS NO TRUE STATEMENTS.','THE GEMS ARE NOT IN THE BLACK BOX.<br><br>THE ABOVE STATEMENT IS TRUE.','THE BLUE BOX HAS EXACTLY ONE<br>TRUE STATEMENT.<br><br>THE GEMS ARE IN THE BLUE BOX.'
3,THIS BOX IS EMPTY.,'THIS BOX IS EMPTY.<br><br>THE BLUE BOX IS EMPTY.','THIS BOX IS EMPTY.<br><br>EVERY STATEMENT WITH THE WORD EMPTY<br>IS FALSE.'
1,'THE GEMS ARE IN A BOX WITH THE LONGEST WORD. <br><br>“LONGEST” IS THE LONGEST WORD ON A BOX.  ','THE GEMS ARE IN A BOX WITH THE SHORTEST WORD. <br><br>“A” IS THE SHORTEST WORD ON A BOX. ','THERE ARE WORDS ON THE BOX WITH THE GEMS. <br><br> THIS BOX DOES NOT CONTAIN THE GEMS. '
3,'A STATEMENT WITH AN ODD NUMBER OF WORDS<br>IS ALWAYS TRUE.<br><br>THE GEMS ARE IN THE BOX WITH THE MOST WORDS.','FALSE STATEMENTS HAVE LESS THAN SIX WORDS.<br><br>THAT’S NOT TRUE.',THIS BOX HAS GEMS.
1,'THE WHITE BOX HAS A TRUE STATEMENT.<br><br>THE BLACK BOX HAS A TRUE STATEMENT.','THE BLACK BOX HAS A FALSE STATEMENT.<br><br>THE GEMS ARE NOT IN THE BOX WITH TWO<br>FALSE STATEMENTS.','THE BLUE BOX HAS TWO FALSE STATEMENTS.<br><br>THE BOX WITH TWO TRUE STATEMENTS HAS<br>THE GEMS.'
1,'THIS IS NOT AN EMPTY BOX.<br><br>THE GEMS ARE NOT IN THE BLACK BOX.','THIS STATEMENT IS TRUE.<br><br>THE ABOVE STATEMENT IS FALSE.','THE GEMS ARE IN THE BLACK BOX.<br><br>THE GEMS ARE IN THE WHITE BOX.'
2,YOU WILL NOT SOLVE<br>THIS PUZZLE.,'FOUR STATEMENTS ON BOXES IN THIS ROOM<br>ARE TRUE.<br><br>A BOX WITH ONE FALSE STATEMENT<br>CONTAINS GEMS.','A BOX WITH A TRUE STATEMENT CONTAINS THE GEMS.<br><br>THIS BOX DOES NOT CONTAIN THE GEMS.'
3,'TWO OF THE TOP STATEMENTS ARE FALSE<br><br>ONLY ONE BOTTOM STATEMENT IS FALSE','THE GEMS ARE IN A BOX WITH A TRUE TOP STATEMENT<br><br>THE GEMS ARE IN A BOX WITH A FALSE BOTTOM STATEMENT','TWO OF THE TOP STATEMENTS ARE TRUE<br><br>ONLY ONE BOTTOM STATEMENT IS TRUE'
2,'THE TOP STATEMENT ON THE WHITE BOX IS TRUE.<br><br>THE GEMS ARE NOT IN THIS BOX.','EXACTLY TWO STATEMENTS WITH THE WORD <color=#152C3F>‘TRUE’</color> <br>ARE FALSE.<br><br>THE GEMS ARE NOT IN THIS BOX.','BOTH STATEMENTS ON THE WHITE BOX ARE TRUE.<br><br>BOTH STATEMENTS ON THIS BOX ARE TRUE.'
3,'THE GEMS ARE IN A BOX WITH TWO STATEMENTS.<br><br>THAT IS TRUE.',THE GEMS ARE IN THE<br>BLUE BOX.,'THE BLUE BOX HAS AT LEAST ONE TRUE STATEMENT.<br><br>THE WHITE BOX HAS AT LEAST ONE TRUE STATEMENT.'
2,'THE BLACK BOX IS TRUE AND IT CONTAINS THE GEMS.','THE BLACK BOX IS FALSE.<br><br>THE ABOVE STATEMENT IS FALSE.',THE BLUE BOX IS EMPTY<br>IF IT IS FALSE.
3,THERE IS ONLY ONE<br>TRUE BOX.,'BOTH STATEMENTS WRITTEN ON THE OTHER  BOXES ARE FALSE.','THE BOX WITH THE MOST WORDS DOES NOT HAVE GEMS.'
2,'ONLY ONE BOX NEXT TO THIS BOX IS FALSE AND IT CONTAINS GEMS.','ONLY ONE BOX NEXT TO THIS BOX IS FALSE AND IT CONTAINS GEMS.','ONLY ONE BOX NEXT TO THIS BOX IS FALSE AND IT CONTAINS GEMS.'
2,ONLY ONE STATEMENT<br>IS TRUE.,A BOX NEXT TO<br>THIS BOX IS TRUE.,A BOX NEXT TO<br>THIS BOX<br>CONTAINS GEMS.
1,'ONLY ONE OF THE STATEMENTS<br>ON THIS BOX ARE FALSE.  <br> <br>THE GEMS ARE IN THE WHITE BOX. ','ONLY ONE OF THE STATEMENTS<br>ON THIS BOX ARE TRUE. <br> <br>THE GEMS ARE IN A BOX WITH A TRUE STATEMENT. ','THERE ARE THREE FALSE STATEMENTS<br>ON BOXES IN THIS ROOM. '
1,'THIS BOX HAS AT LEAST TWO TRUE STATEMENTS. <br> <br>THE BLACK BOX HAS AT LEAST TWO TRUE STATEMENTS. <br> <br>THE GEMS ARE IN THIS BOX. ','EVERY STATEMENT ON THE BLUE BOX IS FALSE. <br> <br>EVERY STATEMENT ON THE BLACK BOX IS TRUE.<br> <br>THE GEMS ARE IN THIS BOX. ','THIS IS A TRUE STATEMENT.<br> <br>THIS IS A TRUE STATEMENT.<br> <br>THE GEMS ARE IN THIS BOX. '
2,'ALL BOXES DISPLAYING THE<br>WORD “EMPTY” ARE EMPTY.<br> <br>ALL STATEMENTS DISPLAYING THE<br>WORD “TRUE” ARE TRUE.','ALL BOXES DISPLAYING THE<br>WORD “GEMS” CONTAIN GEMS.<br> <br>ALL STATEMENTS DISPLAYING THE<br>WORD “WORD” CONTAIN WORDS.','ALL STATEMENTS DISPLAYING THE<br>WORD “BOXES” ARE FALSE.<br> <br>ALL STATEMENTS DISPLAYING THE<br>WORD “STATEMENTS” ARE TRUE.'
1,'ONLY ONE OF THIS BOX’S STATEMENTS IS TRUE.<br> <br>THE GEMS ARE IN A BOX WITH A TRUE STATEMENT. <br> <br> THE GEMS ARE IN A BOX WITH TWO STATEMENTS.','THE GEMS ARE IN A BOX WITH A FALSE STATEMENT.<br> <br>THE GEMS ARE IN A BOX NEXT TO THIS BOX.','ONLY ONE OF THIS BOX’S STATEMENTS ARE FALSE.<br> <br>THE GEMS ARE IN A BOX WITH THREE STATEMENTS.<br> <br> THERE ARE THE SAME NUMBER OF TRUE AND<br>FALSE STATEMENTS ON BOXES.'
3,'THE STATEMENT MATCHING THIS STATEMENT IS TRUE.<br> <br>THE STATEMENT MATCHING THIS STATEMENT IS<br>ON A COMPLETELY TRUE BOX.','THE STATEMENT MATCHING THIS STATEMENT IS TRUE.<br> <br>THE STATEMENT MATCHING THIS STATEMENT<br>IS ON A BOX CONTAINING GEMS.','THE STATEMENT MATCHING THIS STATEMENT<br>IS ON A BOX CONTAINING GEMS.<br> <br>THE STATEMENT MATCHING THIS STATEMENT<br>IS ON A COMPLETELY TRUE BOX.'
3,'THE STATEMENT MATCHING THIS STATEMENT<br>IS ON AN EMPTY BOX.<br> <br>THE GEMS ARE IN A BOX WITH A FALSE STATEMENT.<br> <br>THERE IS AT LEAST ONE TRUE STATEMENT ON THIS BOX.','THE GEMS ARE IN A BOX WITH A TRUE STATEMENT.<br> <br>THE GEMS ARE IN A BOX WITH A FALSE STATEMENT.','THE STATEMENT MATCHING THIS STATEMENT<br>IS ON AN EMPTY BOX.<br> <br>THE GEMS ARE IN A BOX WITH THREE STATEMENTS.<br> <br>THERE ARE AN EQUAL NUMBER OF TRUE AND FALSE STATEMENTS.'
2,'THIS BOX HAS NO FALSE STATEMENTS.<br> <br>THE GEMS ARE IN A BOX WITH A SIX WORD STATEMENT.<br> <br>THIS STATEMENT CONTAINS SIX WORDS.','THE GEMS ARE IN A BOX WITH A STATEMENT<br>CONTAINING THE WORD “SIX”.<br> <br>THERE IS A BOX THAT CONTAINS A MIX OF TRUE<br>AND FALSE STATEMENTS.<br> <br>THIS STATEMENT CONTAINS FIVE WORDS.','THE BLUE BOX CONTAINS EXACTLY ONE  FALSE STATEMENT.<br> <br>THE GEMS ARE IN A BOX WITH A FIVE WORD STATEMENT.<br> <br>THIS BOX HAS NO TRUE STATEMENTS.'
2,'THERE IS NO BOX THAT CONTAINS A MIX OF<br>TRUE AND FALSE STATEMENTS.<br> <br>THERE IS NO BOX THAT DISPLAYS  <b>3</b> FALSE STATEMENTS.<br> <br>THERE IS NO BOX THAT DISPLAYS A NUMBER THAT<br>ALSO APPEARS ON ANOTHER BOX.','THERE IS NO BOX THAT MENTIONS A SPECIFIC COLOR.<br> <br>THERE IS NO BOX THAT DISPLAYS  <b>3</b> TRUE STATEMENTS.','THERE IS NO BOX THAT IS BETWEEN  <b>2</b> EMPTY BOXES.<br> <br>THERE IS NO BOX THAT CONTAINS A STATEMENT<br>WITH LESS THAN  <b>8</b> WORDS.<br> <br>THERE IS NO BOX THAT DISPLAYS<br>EXACTLY  <b>1</b> TRUE STATEMENT.'
2,'ONLY ONE OF WHITE BOX’S STATEMENTS IS TRUE.<br> <br>THE BLACK BOX CONTAINS THE GEMS.<br> <br>THE BLUE BOX IS EMPTY.','ONLY ONE OF BLUE BOX’S STATEMENTS IS TRUE.<br> <br>THE BLACK BOX IS EMPTY. <br> <br>THE GEMS ARE IN A BOX WITH A TRUE STATEMENT.','ONLY ONE OF THIS BOX’S STATEMENTS IS TRUE.<br> <br>THE BLUE BOX CONTAINS THE GEMS. <br> <br>THE WHITE BOX IS EMPTY.'
2,'A BOX WITH A TRUE STATEMENT CONTAINS THE GEMS.<br> <br>A BOX WITH A FALSE STATEMENT CONTAINS THE GEMS. <br> <br>A BOX MENTIONING THE WORD “TRUE” CONTAINS THE GEMS.','A BOX WITH ONLY TRUE STATEMENTS CONTAINS THE GEMS.<br> <br>THE BLUE BOX CONTAINS THE GEMS.<br> <br>A BOX WITH A STATEMENT THAT IS ALSO ON <br>ANOTHER BOX CONTAINS THE GEMS.','A BOX WITH A FALSE STATEMENT CONTAINS THE GEMS.<br> <br>THE WHITE BOX CONTAINS THE GEMS.<br> <br>A BOX MENTIONING A SPECIFIC COLOR CONTAINS THE GEMS.'
3,'A BOX WITH A TRUE STATEMENT IS EMPTY.<br> <br>A BOX WITH A FALSE STATEMENT IS EMPTY.<br> <br>THE WHITE BOX IS EMPTY.','A BOX WITH ONLY TRUE STATEMENTS IS EMPTY.<br> <br>THE BLACK BOX IS EMPTY.<br> <br>A BOX WITH A STATEMENT THAT IS ALSO<br>ON ANOTHER BOX IS EMPTY.','A BOX WITH MORE THAN ONE FALSE STATEMENT IS EMPTY.<br> <br>THE BLACK BOX IS EMPTY.<br> <br>A BOX WITH NO TRUE STATEMENTS IS EMPTY.'
3,THE WHITE BOX IS TRUE.,THE OTHER TWO BOXES<Br>ARE FALSE.,THE OTHER TWO BOXES<br>ARE EMPTY.
1,'THE GEMS ARE IN A BOX WITH A STATEMENT CONTAINING THE LETTER “B”.',THE BLUE BOX IS TRUE.,'THE GEMS ARE IN A BOX WITH A STATEMENT CONTAINING THE LETTER “U”.'
2,THE GEMS ARE IN A BOX WITH A STATEMENT.,' ',THE WHITE BOX DOES NOT HAVE A STATEMENT.
1,THE GEMS ARE IN<br>THE BLACK BOX.,' ',THE GEMS ARE IN A BOX WITH A STATEMENT.
1,THE GEMS ARE IN<br>THE BLACK BOX.,THE GEMS ARE IN<Br>THE WHITE BOX.,ONLY ONE BOX DISPLAYS A TRUE STATEMENT.
2,ONLY ONE BOX IS TRUE.,ONLY ONE BOX<br>CONTAINS GEMS.,THE GEMS ARE IN<br>THE WHITE BOX.
2,ONLY ONE BOX IS TRUE.,THE BLACK BOX CONTAINS THE GEMS.,THE BLUE BOX CONTAINS THE GEMS.
2,THE BOX NEXT TO THIS<br>BOX IS FALSE.,A BOX NEXT TO THIS<br>BOX IS TRUE.,THE BOX NEXT TO THIS<br>BOX CONTAINS GEMS.
2,THE BLACK BOX IS TRUE.,THE GEMS ARE IN<br>THE TRUE BOX.,THE BLUE BOX IS TRUE.
3,THE GEMS ARE IN<br>THE FALSE BOX.,THE GEMS ARE IN<br>THE FALSE BOX.,ONLY ONE OF THE OTHER BOXES IS FALSE.
2,THE GEMS ARE IN<Br>THE WHITE BOX.,"'STATEMENTS WITH THE<br>WORD ""WHITE"" ARE<br>ALWAYS TRUE. '",THE STATEMENT ON THE WHITE BOX IS TRUE.
1,THE GEMS ARE IN<br>THE WHITE BOX.,'A BOX WITH A FALSE STATEMENT CONTAINS THE GEMS.',THE STATEMENT ON THE WHITE BOX IS TRUE.
2,A BOX NEXT TO THIS BOX CONTAINS THE GEMS.,' ',A BOX NEXT TO THIS BOX DISPLAYS A FALSE STATEMENT.
3,'THE GEMS ARE IN THIS BOX.',THE GEMS ARE IN A BOX NEXT TO THIS BOX.,THE GEMS ARE IN<br>THE BLUE BOX.
2,THIS BOX IS BLUE.,THE GEMS ARE IN<br>A TRUE BOX.,THIS BOX IS BLACK.
3,'THE GEMS ARE IN A BOX WITH THE WORD “BLUE” ON IT. ',' ',THE GEMS ARE IN A BOX THAT IS ACTUALLY BLUE.
1,THE BLACK BOX IS FALSE.,THE BLACK BOX IS TRUE.,A FALSE BOX CONTAINS THE GEMS.
3,THE BLACK BOX IS BLACK.,THE BLACK BOX IS TRUE.,THE BLACK BOX IS EMPTY.
3,'THIS BOX AND THE WHITE BOX<br>ARE BOTH EMPTY.','THIS BOX AND THE BLUE BOX<br>ARE BOTH EMPTY.','THE OTHER TWO STATEMENTS HAVE IDENTICAL WORDING.'
3,'GEMS ARE IN BOTH THE BLACK BOX AND THE WHITE BOX.','GEMS ARE IN BOTH THE BLUE BOX AND THE BLACK BOX.','GEMS ARE NOT IN THE<br>WHITE BOX OR THE BLUE BOX.'
