ID,Sol,Blue,White,Black,n_stmts,max_per_box,f_content,f_identity,f_adjacency,f_truthref,f_boxagg,f_coupling,f_globalcount,oos_type,in_scope,notes
29,3,THE EMPTY BOXES BOTH HAVE TRUE STATEMENTS.,THE BLUE BOX HAS A TRUE STATEMENT.,THIS BOX CONTAINS THE GEMS.,3,1,1,0,0,1,0,1,0,-,Y,
30,2,ONE OF THE OTHER TWO BOXES IS FALSE.,YOU WILL OPEN THIS BOX AND FIND IT EMPTY.,THE BLUE BOX IS TRUE.,3,1,1,0,0,1,0,0,0,-,Y,
31,1,THE GEMS ARE IN THE BLACK BOX.,THE GEMS ARE NOT IN THIS BOX.,THE STATEMENTS ON THE OTHER TWO BOXES ARE TRUE.,3,1,1,0,0,1,0,0,0,-,Y,
32,3,THE GEMS ARE IN THE WHITE BOX.,THE OTHER TWO STATEMENTS ARE BOTH TRUE.,THE GEMS ARE NOT IN THE BLUE BOX.,3,1,1,0,0,1,0,0,0,-,Y,
33,2,THE GEMS ARE NOT IN A BOX WITH A TRUE STATEMENT.,THE STATEMENT ON THE BLUE BOX IS AS TRUE AS THIS STATEMENT.,THE GEMS ARE NOT IN A BOX WITH A TRUE STATEMENT.,3,1,0,0,0,1,0,1,0,-,Y,
34,1,THERE IS ONLY ONE TRUE STATEMENT.,THE GEMS ARE IN A BOX WITH A FALSE STATEMENT.,THERE ARE TWO TRUE STATEMENTS.,3,1,0,0,0,0,0,1,1,-,Y,
35,3,THIS IS THE ONLY TRUE BOX.,THE GEMS ARE IN THE OTHER BOX WITH A TRUE STATEMENT.,ONE OF THE OTHER BOXES IS TRUE.,3,1,0,0,0,1,0,1,0,-,Y,
36,1,THE GEMS ARE IN THE ONLY BOX WITH A TRUE STATEMENT.,ONE OF THE OTHER BOXES IS TRUE.,THE GEMS ARE IN THE ONLY BOX WITH A FALSE STATEMENT.,3,1,0,0,0,1,0,1,0,-,Y,
37,2,ONLY ONE STATEMENT IS FALSE.,ONLY ONE STATEMENT IS TRUE.,THE GEMS ARE IN A BOX WITH A FALSE STATEMENT.,3,1,0,0,0,0,0,1,1,-,Y,
38,3,THE GEMS ARE IN THE ONLY TRUE BOX.,ONLY ONE STATEMENT IS TRUE.,THE GEMS ARE IN THE BLUE BOX.,3,1,1,0,0,1,0,1,1,-,Y,
39,2,ONE OF THE OTHER STATEMENTS IS FALSE.,ONE OF THE OTHER BOXES CONTAINS GEMS.,IF YOU REPLACE THE WORD ‘ONE’ IN THE OTHER TWO STATEMENTS WITH ‘BOTH’ THEY WILL BOTH BE FALSE.,3,1,0,0,0,1,0,0,0,CF,N,HARD - reecriture contrefactuelle: 'replace ONE with BOTH'
40,1,THE GEMS ARE IN THIS BOX.,THIS STATEMENT IS OF NO HELP AT ALL.,THE GEMS ARE IN THE BLUE BOX.,3,1,1,0,0,0,0,0,0,EXT,N,SOFT - commentaire non-evaluable: 'of no help at all'
41,1,THE TRUE BOXES ARE BOTH EMPTY.,THE FALSE BOXES ARE BOTH TRUE.,THE GEMS ARE IN THE BLUE BOX.,3,1,1,0,0,1,0,1,0,-,Y,
42,2,BOXES NEXT TO THIS BOX CONTAIN GEMS.,BOXES NEXT TO THIS BOX CONTAIN GEMS.,BOXES NEXT TO THIS BOX CONTAIN GEMS.,3,1,0,0,1,0,0,0,0,-,Y,
43,3,THERE ARE TWO TRUE BOXES.,THERE ARE TWO EMPTY BOXES.,THIS BOX IS EMPTY.,3,1,1,0,0,1,0,0,0,-,Y,
44,3,THE GEMS ARE IN THE BLACK BOX.,THIS STATEMENT IS OF NO HELP AT ALL.,THIS BOX AND THE BLUE BOX ARE BOTH FALSE.,3,1,1,0,0,1,0,0,0,EXT,N,SOFT - commentaire non-evaluable: 'of no help at all'
45,3,THE GEMS ARE IN THE BLACK BOX.,EVERY STATEMENT WITH THE WORD BLACK IS FALSE.,THE GEMS ARE IN THE BLUE BOX.,3,1,1,0,0,1,0,0,0,META,N,HARD - mention de mot: 'the word BLACK'
46,2,THIS BOX IS NOT BLUE.,EVERY STATEMENT WITH THE WORD BLUE IS FALSE.,THE BLACK BOX AND BLUE BOX ARE EMPTY.,3,1,1,1,0,1,0,0,0,META,N,HARD - mention de mot: 'the word BLUE'
47,3,THE EMPTY BOXES ARE BOTH TRUE.,THE GEMS ARE IN THE BLACK BOX.,THIS IS NOT AN EMPTY BOX.,3,1,1,0,0,1,0,1,0,-,Y,
48,1,THE GEMS ARE IN ANOTHER BOX.,THE TRUTH IS ON ANOTHER BOX.,THE WORDS ‘ANOTHER BOX’ ARE ON ANOTHER BOX.,3,1,0,0,0,1,0,0,0,META,N,HARD - sur les mots: 'the words ANOTHER BOX'
49,2,THE GEMS ARE ON THE TABLE BEHIND YOU.,THE GEMS ARE IN THIS BOX.,EVERY STATEMENT CLAIMING WHERE THE GEMS ARE IS FALSE. THE GEMS ARE IN THE BLUE BOX.,4,2,1,0,0,1,0,0,0,EXT,N,HARD - 'table behind you' + meta 'statements claiming where the gems are'
50,3,THIS BOX IS EMPTY.,THIS BOX IS EMPTY.,THIS PUZZLE IS HARDER THAN IT SEEMS.,3,1,1,0,0,0,0,0,0,EXT,N,SOFT - commentaire non-evaluable: 'harder than it seems'
51,2,YOU WILL OPEN THIS BOX AND FIND IT EMPTY.,A TRUE BOX CONTAINS THE GEMS.,THIS BOX AND THE WHITE BOX ARE BOTH FALSE.,3,1,1,0,0,1,0,1,0,-,Y,
52,3,THE WHITE BOX IS EMPTY.,THE BLUE BOX IS FALSE.,THE EMPTY BOXES BOTH HAVE FALSE STATEMENTS.,3,1,1,0,0,1,0,1,0,-,Y,
53,2,A BOX THAT DISPLAYS THE WORD ‘TRUE'' IS FALSE.,A BOX THAT DISPLAYS THE WORD ‘GEMS'' IS EMPTY.,THE WHITE BOX IS TRUE AND DOES NOT CONTAIN GEMS.,3,1,1,0,0,1,0,1,0,META,N,HARD - affichage de mot: 'the word TRUE / GEMS'
54,3,THE LETTER ‘B’ APPEARS TWICE ON THE BOX THAT CONTAINS THE GEMS.,ALL STATEMENTS THAT CONTAIN MORE THAN ONE ‘B’ ARE TRUE.,THE BLUE BOX CONTAINS GEMS.,3,1,1,0,0,0,0,0,0,META,N,HARD - compte de lettres (deja classe)
55,2,THE EMPTY BOXES ARE BOTH TRUE.,THE EMPTY BOXES ARE BOTH FALSE.,THIS IS NOT AN EMPTY BOX.,3,1,1,0,0,1,0,1,0,-,Y,
56,1,THIS BOX’S STATEMENT IS BOTH TRUE AND FALSE.,THE BLUE BOX CONTAINS THE GEMS IF ITS STATEMENT IS FALSE.,THIS STATEMENT IS AS TRUE AS THE WHITE BOX’S STATEMENT.,3,1,0,0,0,1,0,1,0,-,Y,
57,3,STATEMENTS CONTAINING THE WORD ‘STATEMENTS’ ARE ALWAYS TRUE.,BOTH STATEMENTS ON THE BLACK BOX ARE FALSE.,THE GEMS ARE IN THE BOX WITH A TRUE STATEMENT. THIS IS THE SECOND STATEMENT ON THIS BOX.,4,2,0,0,0,1,1,1,0,META,N,HARD - mention de mot: 'the word STATEMENTS'
58,2,THE GEMS ARE NOT IN THE BLACK BOX.,THE GEMS ARE IN THE BLUE BOX.,BOTH OF THESE STATEMENTS ARE FALSE. THE STATEMENT ON THE WHITE BOX IS FALSE.,4,2,1,0,0,1,1,0,0,-,Y,
59,2,THE GEMS ARE NOT IN THE BLACK BOX.,THIS STATEMENT IS AS TRUE AS THE STATEMENT ON THE BLACK BOX.,THE GEMS ARE IN THE WHITE BOX.,3,1,1,0,0,1,0,0,0,-,Y,
60,3,THERE ARE TWO STATEMENTS ON THIS BOX. THEY ARE BOTH FALSE.,THERE ARE TWO STATEMENTS ON THIS BOX. THE GEMS ARE IN A BOX WITH NO TRUE STATEMENTS.,THERE ARE TWO STATEMENTS ON THIS BOX.,5,2,0,0,0,1,1,1,0,STRUCT,N,SOFT - compte de statements: 'there are two statements on this box'
61,3,THE SECOND STATEMENT ON THE BLACK BOX IS FALSE. THE BLACK BOX CONTAINS THE GEMS.,EVERY STATEMENT WITH THE WORD ''BLUE'' IS FALSE.,BOTH STATEMENTS ON THE BLUE BOX ARE TRUE. THE BLUE BOX CONTAINS GEMS.,5,2,1,0,0,1,1,0,0,META,N,HARD - mention de mot (white): 'the word BLUE'
62,1,THE GEMS ARE IN THIS BOX. THE ABOVE STATEMENT IS TRUE.,THE GEMS ARE NOT IN THIS BOX. THE ABOVE STATEMENT IS FALSE.,THE TOP STATEMENT OF EACH BOX IS TRUE. THE ABOVE STATEMENT IS TRUE.,6,2,1,0,0,1,0,0,0,-,Y,
63,2,BOTH OF THESE STATEMENTS ARE TRUE. THE GEMS ARE IN THIS BOX.,THE GEMS ARE NOT IN THE BLUE BOX. THE GEMS ARE NOT IN THE BLACK BOX.,THE GEMS ARE IN A BOX WITH A FALSE STATEMENT. BOTH STATEMENTS ON THE BLUE BOX ARE TRUE.,6,2,1,0,0,1,1,1,0,-,Y,
64,3,THE GEMS ARE NOT IN THIS BOX. THE GEMS ARE NOT IN THE WHITE BOX.,THE GEMS ARE NOT IN THIS BOX. THE GEMS ARE IN THE BLUE BOX.,THE GEMS ARE NOT IN THIS BOX. THE GEMS ARE IN THE BLUE BOX.,6,2,1,0,0,0,0,0,0,-,Y,
65,3,THE STATEMENTS ON THIS BOX ARE EITHER BOTH TRUE OR BOTH FALSE. THIS BOX IS EMPTY.,THIS BOX IS WHITE.,ALL STATEMENTS ON THE BLUE BOX ARE TRUE. THE BOX WITH NO FALSE STATEMENTS HAS THE GEMS.,5,2,1,1,0,1,1,1,0,-,Y,
66,1,THE WHITE BOX HAS EXACTLY ONE TRUE STATEMENT. THE BLACK BOX HAS NO TRUE STATEMENTS.,THE GEMS ARE NOT IN THE BLACK BOX. THE ABOVE STATEMENT IS TRUE.,THE BLUE BOX HAS EXACTLY ONE TRUE STATEMENT. THE GEMS ARE IN THE BLUE BOX.,6,2,1,0,0,1,1,0,0,-,Y,
67,3,THIS BOX IS EMPTY.,THIS BOX IS EMPTY. THE BLUE BOX IS EMPTY.,THIS BOX IS EMPTY. EVERY STATEMENT WITH THE WORD EMPTY IS FALSE.,5,2,1,0,0,1,0,0,0,META,N,HARD - mention de mot: 'the word EMPTY'
68,1,THE GEMS ARE IN A BOX WITH THE LONGEST WORD. “LONGEST” IS THE LONGEST WORD ON A BOX.,THE GEMS ARE IN A BOX WITH THE SHORTEST WORD. “A” IS THE SHORTEST WORD ON A BOX.,THERE ARE WORDS ON THE BOX WITH THE GEMS. THIS BOX DOES NOT CONTAIN THE GEMS.,6,2,1,0,0,0,0,1,0,META,N,HARD - longueur de mot: 'longest / shortest word'
69,3,A STATEMENT WITH AN ODD NUMBER OF WORDS IS ALWAYS TRUE. THE GEMS ARE IN THE BOX WITH THE MOST WORDS.,FALSE STATEMENTS HAVE LESS THAN SIX WORDS. THAT’S NOT TRUE.,THIS BOX HAS GEMS.,5,2,1,0,0,1,0,1,0,META,N,HARD - compte de mots: 'odd number of words / most words'
70,1,THE WHITE BOX HAS A TRUE STATEMENT. THE BLACK BOX HAS A TRUE STATEMENT.,THE BLACK BOX HAS A FALSE STATEMENT. THE GEMS ARE NOT IN THE BOX WITH TWO FALSE STATEMENTS.,THE BLUE BOX HAS TWO FALSE STATEMENTS. THE BOX WITH TWO TRUE STATEMENTS HAS THE GEMS.,6,2,0,0,0,1,1,1,0,-,Y,
71,1,THIS IS NOT AN EMPTY BOX. THE GEMS ARE NOT IN THE BLACK BOX.,THIS STATEMENT IS TRUE. THE ABOVE STATEMENT IS FALSE.,THE GEMS ARE IN THE BLACK BOX. THE GEMS ARE IN THE WHITE BOX.,6,2,1,0,0,1,0,0,0,-,Y,
72,2,YOU WILL NOT SOLVE THIS PUZZLE.,FOUR STATEMENTS ON BOXES IN THIS ROOM ARE TRUE. A BOX WITH ONE FALSE STATEMENT CONTAINS GEMS.,A BOX WITH A TRUE STATEMENT CONTAINS THE GEMS. THIS BOX DOES NOT CONTAIN THE GEMS.,5,2,1,0,0,1,0,1,1,EXT,N,SOFT - commentaire non-evaluable: 'you will not solve this puzzle'
73,3,TWO OF THE TOP STATEMENTS ARE FALSE ONLY ONE BOTTOM STATEMENT IS FALSE,THE GEMS ARE IN A BOX WITH A TRUE TOP STATEMENT THE GEMS ARE IN A BOX WITH A FALSE BOTTOM STATEMENT,TWO OF THE TOP STATEMENTS ARE TRUE ONLY ONE BOTTOM STATEMENT IS TRUE,6,2,0,0,0,1,0,1,1,POS,N,"SOFT - comptage positionnel inter-boites (top/bottom), hors grammaire actuelle"
74,2,THE TOP STATEMENT ON THE WHITE BOX IS TRUE. THE GEMS ARE NOT IN THIS BOX.,EXACTLY TWO STATEMENTS WITH THE WORD ‘TRUE’ ARE FALSE. THE GEMS ARE NOT IN THIS BOX.,BOTH STATEMENTS ON THE WHITE BOX ARE TRUE. BOTH STATEMENTS ON THIS BOX ARE TRUE.,6,2,1,0,0,1,1,0,1,META,N,HARD - mention de mot: 'the word TRUE'
75,3,THE GEMS ARE IN A BOX WITH TWO STATEMENTS. THAT IS TRUE.,THE GEMS ARE IN THE BLUE BOX.,THE BLUE BOX HAS AT LEAST ONE TRUE STATEMENT. THE WHITE BOX HAS AT LEAST ONE TRUE STATEMENT.,5,2,1,0,0,1,0,1,0,STRUCT,N,SOFT - compte de statements: 'a box with two statements'
76,2,THE BLACK BOX IS TRUE AND IT CONTAINS THE GEMS.,THE BLACK BOX IS FALSE. THE ABOVE STATEMENT IS FALSE.,THE BLUE BOX IS EMPTY IF IT IS FALSE.,4,2,1,0,0,1,0,1,0,-,Y,
77,3,THERE IS ONLY ONE TRUE BOX.,BOTH STATEMENTS WRITTEN ON THE OTHER BOXES ARE FALSE.,THE BOX WITH THE MOST WORDS DOES NOT HAVE GEMS.,3,1,0,0,0,1,0,1,0,META,N,HARD - compte de mots: 'the box with the most words'
78,2,ONLY ONE BOX NEXT TO THIS BOX IS FALSE AND IT CONTAINS GEMS.,ONLY ONE BOX NEXT TO THIS BOX IS FALSE AND IT CONTAINS GEMS.,ONLY ONE BOX NEXT TO THIS BOX IS FALSE AND IT CONTAINS GEMS.,3,1,0,0,1,1,0,1,0,-,Y,
79,2,ONLY ONE STATEMENT IS TRUE.,A BOX NEXT TO THIS BOX IS TRUE.,A BOX NEXT TO THIS BOX CONTAINS GEMS.,3,1,0,0,1,1,0,0,1,-,Y,
80,1,ONLY ONE OF THE STATEMENTS ON THIS BOX ARE FALSE. THE GEMS ARE IN THE WHITE BOX.,ONLY ONE OF THE STATEMENTS ON THIS BOX ARE TRUE. THE GEMS ARE IN A BOX WITH A TRUE STATEMENT.,THERE ARE THREE FALSE STATEMENTS ON BOXES IN THIS ROOM.,5,2,1,0,0,1,1,1,1,-,Y,
81,1,THIS BOX HAS AT LEAST TWO TRUE STATEMENTS. THE BLACK BOX HAS AT LEAST TWO TRUE STATEMENTS. THE GEMS ARE IN THIS BOX.,EVERY STATEMENT ON THE BLUE BOX IS FALSE. EVERY STATEMENT ON THE BLACK BOX IS TRUE. THE GEMS ARE IN THIS BOX.,THIS IS A TRUE STATEMENT. THIS IS A TRUE STATEMENT. THE GEMS ARE IN THIS BOX.,9,3,1,0,0,1,1,0,0,-,Y,
82,2,ALL BOXES DISPLAYING THE WORD “EMPTY” ARE EMPTY. ALL STATEMENTS DISPLAYING THE WORD “TRUE” ARE TRUE.,ALL BOXES DISPLAYING THE WORD “GEMS” CONTAIN GEMS. ALL STATEMENTS DISPLAYING THE WORD “WORD” CONTAIN WORDS.,ALL STATEMENTS DISPLAYING THE WORD “BOXES” ARE FALSE. ALL STATEMENTS DISPLAYING THE WORD “STATEMENTS” ARE TRUE.,6,2,0,0,0,1,0,1,0,META,N,HARD - affichage de mot: 'displaying the word ...'
83,1,ONLY ONE OF THIS BOX’S STATEMENTS IS TRUE. THE GEMS ARE IN A BOX WITH A TRUE STATEMENT. THE GEMS ARE IN A BOX WITH TWO STATEMENTS.,THE GEMS ARE IN A BOX WITH A FALSE STATEMENT. THE GEMS ARE IN A BOX NEXT TO THIS BOX.,ONLY ONE OF THIS BOX’S STATEMENTS ARE FALSE. THE GEMS ARE IN A BOX WITH THREE STATEMENTS. THERE ARE THE SAME NUMBER OF TRUE AND FALSE STATEMENTS ON BOXES.,8,3,0,0,1,1,1,1,1,STRUCT,N,SOFT - compte de statements: 'a box with two / three statements'
84,3,THE STATEMENT MATCHING THIS STATEMENT IS TRUE. THE STATEMENT MATCHING THIS STATEMENT IS ON A COMPLETELY TRUE BOX.,THE STATEMENT MATCHING THIS STATEMENT IS TRUE. THE STATEMENT MATCHING THIS STATEMENT IS ON A BOX CONTAINING GEMS.,THE STATEMENT MATCHING THIS STATEMENT IS ON A BOX CONTAINING GEMS. THE STATEMENT MATCHING THIS STATEMENT IS ON A COMPLETELY TRUE BOX.,6,2,0,0,0,1,1,1,0,SAME,N,HARD - 'the statement matching this statement'
85,3,THE STATEMENT MATCHING THIS STATEMENT IS ON AN EMPTY BOX. THE GEMS ARE IN A BOX WITH A FALSE STATEMENT. THERE IS AT LEAST ONE TRUE STATEMENT ON THIS BOX.,THE GEMS ARE IN A BOX WITH A TRUE STATEMENT. THE GEMS ARE IN A BOX WITH A FALSE STATEMENT.,THE STATEMENT MATCHING THIS STATEMENT IS ON AN EMPTY BOX. THE GEMS ARE IN A BOX WITH THREE STATEMENTS. THERE ARE AN EQUAL NUMBER OF TRUE AND FALSE STATEMENTS.,8,3,0,0,0,1,1,1,1,SAME,N,HARD - 'the statement matching this statement'
86,2,THIS BOX HAS NO FALSE STATEMENTS. THE GEMS ARE IN A BOX WITH A SIX WORD STATEMENT. THIS STATEMENT CONTAINS SIX WORDS.,THE GEMS ARE IN A BOX WITH A STATEMENT CONTAINING THE WORD “SIX”. THERE IS A BOX THAT CONTAINS A MIX OF TRUE AND FALSE STATEMENTS. THIS STATEMENT CONTAINS FIVE WORDS.,THE BLUE BOX CONTAINS EXACTLY ONE FALSE STATEMENT. THE GEMS ARE IN A BOX WITH A FIVE WORD STATEMENT. THIS BOX HAS NO TRUE STATEMENTS.,9,3,0,0,0,1,1,1,0,META,N,HARD - compte de mots: 'six word statement / word SIX'
87,2,THERE IS NO BOX THAT CONTAINS A MIX OF TRUE AND FALSE STATEMENTS. THERE IS NO BOX THAT DISPLAYS 3 FALSE STATEMENTS. THERE IS NO BOX THAT DISPLAYS A NUMBER THAT ALSO APPEARS ON ANOTHER BOX.,THERE IS NO BOX THAT MENTIONS A SPECIFIC COLOR. THERE IS NO BOX THAT DISPLAYS 3 TRUE STATEMENTS.,THERE IS NO BOX THAT IS BETWEEN 2 EMPTY BOXES. THERE IS NO BOX THAT CONTAINS A STATEMENT WITH LESS THAN 8 WORDS. THERE IS NO BOX THAT DISPLAYS EXACTLY 1 TRUE STATEMENT.,8,3,0,0,1,0,1,0,0,META,N,HARD - 'displays a number' / 'less than 8 words'
88,2,ONLY ONE OF WHITE BOX’S STATEMENTS IS TRUE. THE BLACK BOX CONTAINS THE GEMS. THE BLUE BOX IS EMPTY.,ONLY ONE OF BLUE BOX’S STATEMENTS IS TRUE. THE BLACK BOX IS EMPTY. THE GEMS ARE IN A BOX WITH A TRUE STATEMENT.,ONLY ONE OF THIS BOX’S STATEMENTS IS TRUE. THE BLUE BOX CONTAINS THE GEMS. THE WHITE BOX IS EMPTY.,9,3,1,0,0,1,1,1,0,-,Y,
89,2,A BOX WITH A TRUE STATEMENT CONTAINS THE GEMS. A BOX WITH A FALSE STATEMENT CONTAINS THE GEMS. A BOX MENTIONING THE WORD “TRUE” CONTAINS THE GEMS.,A BOX WITH ONLY TRUE STATEMENTS CONTAINS THE GEMS. THE BLUE BOX CONTAINS THE GEMS. A BOX WITH A STATEMENT THAT IS ALSO ON ANOTHER BOX CONTAINS THE GEMS.,A BOX WITH A FALSE STATEMENT CONTAINS THE GEMS. THE WHITE BOX CONTAINS THE GEMS. A BOX MENTIONING A SPECIFIC COLOR CONTAINS THE GEMS.,9,3,1,0,0,0,0,1,0,META,N,HARD - mention de mot 'TRUE' + 'also on another box'
90,3,A BOX WITH A TRUE STATEMENT IS EMPTY. A BOX WITH A FALSE STATEMENT IS EMPTY. THE WHITE BOX IS EMPTY.,A BOX WITH ONLY TRUE STATEMENTS IS EMPTY. THE BLACK BOX IS EMPTY. A BOX WITH A STATEMENT THAT IS ALSO ON ANOTHER BOX IS EMPTY.,A BOX WITH MORE THAN ONE FALSE STATEMENT IS EMPTY. THE BLACK BOX IS EMPTY. A BOX WITH NO TRUE STATEMENTS IS EMPTY.,9,3,1,0,0,0,0,1,0,SAME,N,HARD - 'a statement that is also on another box'
91,3,THE WHITE BOX IS TRUE.,THE OTHER TWO BOXES ARE FALSE.,THE OTHER TWO BOXES ARE EMPTY.,3,1,1,0,0,1,0,0,0,-,Y,
92,1,THE GEMS ARE IN A BOX WITH A STATEMENT CONTAINING THE LETTER “B”.,THE BLUE BOX IS TRUE.,THE GEMS ARE IN A BOX WITH A STATEMENT CONTAINING THE LETTER “U”.,3,1,0,0,0,1,0,1,0,META,N,HARD - compte de lettres: 'the letter B / U'
93,2,THE GEMS ARE IN A BOX WITH A STATEMENT.,,THE WHITE BOX DOES NOT HAVE A STATEMENT.,2,1,0,0,0,0,0,1,0,STRUCT,N,SOFT - existence de statement: 'a box with a statement'
94,1,THE GEMS ARE IN THE BLACK BOX.,,THE GEMS ARE IN A BOX WITH A STATEMENT.,2,1,1,0,0,0,0,1,0,STRUCT,N,SOFT - existence de statement: 'a box with a statement'
